id_do_caso,continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso,cat_empresa,cat_salario,cat_experiencia
EZYV5178,América do Norte,Ensino Superior,S,N,3520,1993,Nordeste,158.36,Hora,S,Negado,intermediaria,baixo,2
EZYV17007,Ásia,Doutorado,S,N,-11,1984,Oeste,25753.51,Ano,S,Negado,intermediaria,baixo,2
EZYV801,Europa,Ensino Médio,S,S,69947,1995,Nordeste,127242.79,Ano,S,Negado,intermediaria,alto,1
EZYV827,América do Sul,Mestrado,S,N,1224,1880,Meio-Oeste,22815.27,Ano,S,Aprovado,antiga,baixo,2
EZYV20728,Ásia,Mestrado,S,N,4612,2009,Nordeste,19724.4,Ano,S,Aprovado,nova,baixo,2
EZYV22134,Ásia,Mestrado,S,N,105,1997,Sul,65384.35,Ano,S,Aprovado,nova,medio_baixo,2
EZYV21790,Europa,Mestrado,S,N,4655,1934,Oeste,107125.17,Ano,S,Negado,antiga,medio_alto,2
EZYV4751,Ásia,Mestrado,S,N,1072,1974,Sul,47109.74,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV1053,África,Ensino Médio,S,N,5838,1910,Meio-Oeste,114592.85,Ano,S,Aprovado,antiga,alto,2
EZYV9753,Ásia,Mestrado,S,N,5958,2010,Sul,386.95,Ano,S,Aprovado,nova,baixo,2
EZYV15022,Ásia,Ensino Médio,N,N,3248,1994,Nordeste,112790.25,Ano,S,Negado,intermediaria,alto,4
EZYV14339,Ásia,Ensino Superior,N,N,2926,1993,Sul,299.2344,Hora,S,Negado,intermediaria,baixo,4
EZYV4472,América do Norte,Ensino Superior,N,N,2347,1999,Oeste,95496.49,Ano,S,Negado,nova,medio_alto,4
EZYV1901,Ásia,Ensino Médio,N,S,365,2005,Meio-Oeste,88330.46,Ano,S,Aprovado,nova,medio_alto,3
EZYV5971,Ásia,Mestrado,N,N,4755,1933,Meio-Oeste,130443.76,Ano,S,Aprovado,antiga,alto,4
EZYV20931,Ásia,Mestrado,N,N,2373,1992,Meio-Oeste,32197.86,Ano,S,Aprovado,intermediaria,baixo,4
EZYV1601,América do Norte,Ensino Superior,N,N,3065,1973,Meio-Oeste,174495.55,Ano,N,Aprovado,intermediaria,alto,4
EZYV6642,Ásia,Ensino Superior,N,N,1434,1979,Nordeste,76878.2,Ano,S,Negado,intermediaria,medio_alto,4
EZYV22997,Europa,Ensino Superior,N,N,5147,1991,Nordeste,60890.91,Ano,S,Aprovado,intermediaria,medio_baixo,4
EZYV5994,Ásia,Ensino Superior,S,N,3143,2001,Nordeste,26946.53,Ano,S,Negado,nova,baixo,2
EZYV17699,Ásia,Ensino Superior,N,N,3134,1945,Sul,673.6424,Hora,S,Negado,antiga,baixo,4
EZYV18704,Ásia,Ensino Superior,S,N,1596,1939,Nordeste,45847.34,Ano,S,Aprovado,antiga,medio_baixo,2
EZYV9346,Ásia,Mestrado,S,N,377,2007,Nordeste,135634.95,Ano,S,Aprovado,nova,alto,2
EZYV24440,Ásia,Mestrado,N,N,1177,1997,Nordeste,81708.11,Ano,S,Negado,nova,medio_alto,4
EZYV21731,Ásia,Ensino Superior,N,N,1176,1998,Meio-Oeste,38163.44,Ano,S,Aprovado,nova,medio_baixo,4
EZYV6251,Ásia,Ensino Superior,N,N,137,1985,Sul,301.2781,Hora,S,Negado,intermediaria,baixo,4
EZYV1213,Ásia,Ensino Médio,N,N,31859,1964,Sul,932.9804,Hora,S,Aprovado,intermediaria,baixo,4
EZYV9329,Ásia,Mestrado,S,N,3338,2003,Nordeste,107608.28,Ano,S,Aprovado,nova,alto,2
EZYV14949,Ásia,Mestrado,S,N,2635,1988,Sul,10456.15,Ano,S,Aprovado,intermediaria,baixo,2
EZYV85,Ásia,Mestrado,S,S,1023,2002,Sul,174014.59,Ano,S,Aprovado,nova,alto,1
EZYV17368,Ásia,Doutorado,S,N,4750,2005,Meio-Oeste,221900.52,Ano,S,Aprovado,nova,alto,2
EZYV814,Ásia,Mestrado,S,N,5664,1999,Oeste,34770.1,Ano,S,Aprovado,nova,medio_baixo,2
EZYV736,África,Mestrado,S,N,1838,1990,Meio-Oeste,112102.98,Ano,S,Aprovado,intermediaria,alto,2
EZYV8781,Europa,Ensino Superior,S,N,2306,1881,Nordeste,99122.45,Ano,S,Aprovado,antiga,medio_alto,2
EZYV17792,América do Norte,Mestrado,S,N,2991,1932,Oeste,102446.51,Ano,N,Aprovado,antiga,medio_alto,2
EZYV17657,Ásia,Mestrado,S,N,120,1990,Oeste,40541.2,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV10145,Europa,Ensino Superior,N,S,2163,1939,Nordeste,77102.96,Ano,S,Aprovado,antiga,medio_alto,3
EZYV14324,Ásia,Ensino Médio,S,S,4963,1998,Oeste,103642.77,Ano,S,Negado,nova,medio_alto,1
EZYV10610,Ásia,Mestrado,S,N,4585,1997,Sul,4860.1,Ano,N,Aprovado,nova,baixo,2
EZYV14985,Ásia,Ensino Superior,N,N,3684,2007,Sul,126189.3,Ano,S,Aprovado,nova,alto,4
EZYV19925,América do Norte,Ensino Superior,N,N,1568,1976,Nordeste,27512.19,Ano,S,Negado,intermediaria,baixo,4
EZYV24159,América do Norte,Ensino Superior,N,N,453,2002,Sul,115570.99,Ano,S,Aprovado,nova,alto,4
EZYV5027,Europa,Doutorado,N,N,4296,2008,Sul,6941.67,Ano,S,Aprovado,nova,baixo,4
EZYV7202,América do Norte,Mestrado,N,N,3425,1999,Meio-Oeste,27826.13,Ano,S,Aprovado,nova,baixo,4
EZYV7919,Europa,Ensino Superior,S,N,3436,2013,Oeste,47177.16,Ano,S,Negado,nova,medio_baixo,2
EZYV16380,Europa,Doutorado,S,S,4427,2013,Oeste,23913.44,Ano,S,Aprovado,nova,baixo,1
EZYV9533,Europa,Doutorado,S,N,2883,1963,Nordeste,138536.56,Ano,S,Aprovado,intermediaria,alto,2
EZYV23796,Ásia,Ensino Superior,S,N,4486,1998,Sul,81375.83,Ano,S,Negado,nova,medio_alto,2
EZYV14326,Europa,Ensino Médio,S,N,622,1983,Sul,49958.16,Ano,S,Negado,intermediaria,medio_baixo,2
EZYV22560,Ásia,Mestrado,N,N,21021,1977,Nordeste,164.0089,Hora,S,Negado,intermediaria,baixo,4
EZYV17974,América do Sul,Doutorado,N,S,60905,2007,Sul,87530.84,Ano,S,Aprovado,nova,medio_alto,3
EZYV7222,Ásia,Ensino Superior,N,S,100771,1838,Nordeste,187808.28,Ano,S,Aprovado,antiga,alto,3
EZYV4376,Ásia,Mestrado,S,N,1837,2000,Sul,43769.73,Ano,S,Aprovado,nova,medio_baixo,2
EZYV16952,Europa,Ensino Superior,S,N,2487,2005,Oeste,56518.49,Ano,S,Aprovado,nova,medio_baixo,2
EZYV9990,Ásia,Mestrado,S,N,2231,2005,Meio-Oeste,118029.48,Ano,S,Aprovado,nova,alto,2
EZYV14613,Ásia,Ensino Médio,S,N,2071,2000,Sul,93458.12,Ano,N,Negado,nova,medio_alto,2
EZYV20155,Ásia,Mestrado,N,N,4389,2004,Meio-Oeste,124244.19,Ano,S,Aprovado,nova,alto,4
EZYV17461,Europa,Mestrado,N,N,70615,1973,Oeste,7834.5,Ano,S,Aprovado,intermediaria,baixo,4
EZYV19289,Ásia,Ensino Médio,S,N,528,1999,Meio-Oeste,62628.67,Ano,S,Aprovado,nova,medio_baixo,2
EZYV3483,Ásia,Ensino Médio,S,N,2974,1959,Oeste,2034.28,Ano,S,Negado,intermediaria,baixo,2
EZYV4300,Ásia,Mestrado,S,N,91148,1998,Oeste,132.82,Hora,S,Aprovado,nova,baixo,2
EZYV17565,América do Norte,Mestrado,S,N,3103,1838,Nordeste,86385.21,Ano,N,Negado,antiga,medio_alto,2
EZYV9262,Ásia,Mestrado,S,N,6039,2013,Meio-Oeste,137807.55,Ano,N,Aprovado,nova,alto,2
EZYV3478,Ásia,Ensino Superior,N,N,4027,2001,Nordeste,109.76,Hora,S,Negado,nova,baixo,4
EZYV6563,Ásia,Mestrado,N,N,1383,2004,Meio-Oeste,718.027,Hora,S,Aprovado,nova,baixo,4
EZYV4780,Ásia,Mestrado,S,N,4344,1939,Sul,103632.59,Ano,S,Aprovado,antiga,medio_alto,2
EZYV18636,América do Norte,Mestrado,S,N,3819,1977,Nordeste,86371.84,Ano,S,Negado,intermediaria,medio_alto,2
EZYV13864,Ásia,Mestrado,S,N,2443,2007,Oeste,20701.79,Ano,S,Aprovado,nova,baixo,2
EZYV24406,Europa,Mestrado,S,N,2216,1947,Nordeste,118495.9,Ano,S,Aprovado,intermediaria,alto,2
EZYV12107,Ásia,Ensino Superior,N,N,10641,1993,Meio-Oeste,29022.63,Ano,S,Aprovado,intermediaria,baixo,4
EZYV25056,Ásia,Mestrado,N,S,1990,1985,Sul,47508.19,Ano,S,Aprovado,intermediaria,medio_baixo,3
EZYV9457,América do Norte,Mestrado,S,N,2496,1987,Sul,4839.98,Ano,N,Negado,intermediaria,baixo,2
EZYV25243,América do Norte,Mestrado,S,N,517,1993,Oeste,98116.95,Ano,S,Aprovado,intermediaria,medio_alto,2
EZYV22294,Ásia,Mestrado,N,N,326,2000,Meio-Oeste,110646.74,Ano,S,Negado,nova,alto,4
EZYV16597,Europa,Mestrado,N,N,673,1989,Nordeste,102819.6,Ano,S,Aprovado,intermediaria,medio_alto,4
EZYV24937,América do Norte,Ensino Superior,N,N,3176,1998,Sul,20898.29,Ano,N,Negado,nova,baixo,4
EZYV18319,Ásia,Ensino Superior,S,S,12669,1977,Oeste,154599.79,Ano,S,Aprovado,intermediaria,alto,1
EZYV5008,Ásia,Doutorado,N,S,433,1867,Sul,124155.88,Ano,S,Aprovado,antiga,alto,3
EZYV15197,Ásia,Mestrado,N,N,857,2005,Meio-Oeste,134699.98,Ano,S,Aprovado,nova,alto,4
EZYV1226,Europa,Doutorado,S,N,2405,1986,Sul,429.95,Ano,S,Aprovado,intermediaria,baixo,2
EZYV1259,América do Norte,Ensino Superior,N,N,1447,1984,Nordeste,26679.76,Ano,S,Negado,intermediaria,baixo,4
EZYV1764,Ásia,Mestrado,S,N,4826,1994,Oeste,66413.19,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV23580,Europa,Mestrado,S,N,764,1998,Oeste,13239.84,Ano,S,Aprovado,nova,baixo,2
EZYV21583,Europa,Doutorado,N,S,1637,2007,Sul,11266.56,Ano,S,Negado,nova,baixo,3
EZYV11612,Ásia,Mestrado,N,N,1566,2009,Oeste,76941.3,Ano,N,Aprovado,nova,medio_alto,4
EZYV139,Ásia,Ensino Superior,S,N,1195,1914,Meio-Oeste,108519.14,Ano,S,Aprovado,antiga,alto,2
EZYV13171,Ásia,Ensino Superior,S,N,2274,1875,Sul,57490.42,Ano,S,Aprovado,antiga,medio_baixo,2
EZYV6337,Ásia,Ensino Superior,S,N,1801,1866,Oeste,128044.08,Ano,S,Aprovado,antiga,alto,2
EZYV5904,América do Norte,Ensino Médio,S,N,739,1995,Nordeste,4201.92,Ano,S,Aprovado,intermediaria,baixo,2
EZYV12401,Ásia,Mestrado,S,N,3169,1968,Meio-Oeste,85415.78,Ano,N,Aprovado,intermediaria,medio_alto,2
EZYV19219,Europa,Ensino Médio,S,N,2536,1954,Meio-Oeste,163341.22,Ano,S,Aprovado,intermediaria,alto,2
EZYV3692,Ásia,Ensino Superior,N,N,293,1894,Meio-Oeste,9489.65,Ano,S,Negado,antiga,baixo,4
EZYV5608,Ásia,Mestrado,S,N,4296,2008,Sul,127922.38,Ano,S,Aprovado,nova,alto,2
EZYV2430,Ásia,Ensino Superior,S,N,80778,1998,Nordeste,22476.18,Ano,S,Aprovado,nova,baixo,2
EZYV1246,Ásia,Ensino Superior,S,N,773,1996,Sul,80949.53,Ano,S,Aprovado,nova,medio_alto,2
EZYV12723,Ásia,Ensino Médio,N,N,2938,1963,Nordeste,123.7616,Hora,S,Negado,intermediaria,baixo,4
EZYV3791,Ásia,Ensino Superior,S,N,3173,2002,Sul,28652.91,Ano,S,Negado,nova,baixo,2
EZYV25239,Ásia,Ensino Superior,S,N,1614,2008,Meio-Oeste,88771.85,Ano,S,Aprovado,nova,medio_alto,2
EZYV17450,Ásia,Mestrado,S,N,2646,1965,Meio-Oeste,99154.55,Ano,S,Aprovado,intermediaria,medio_alto,2
EZYV700,Ásia,Mestrado,S,N,463,1907,Nordeste,68182.63,Ano,S,Aprovado,antiga,medio_baixo,2
EZYV16797,Ásia,Ensino Superior,N,S,24,1991,Oeste,87751.3,Ano,S,Aprovado,intermediaria,medio_alto,3
EZYV203,Ásia,Ensino Superior,S,N,3128,1999,Oeste,31890.66,Ano,S,Aprovado,nova,baixo,2
EZYV21026,Ásia,Ensino Superior,N,N,2149,1995,Sul,73118.95,Ano,S,Negado,intermediaria,medio_alto,4
EZYV7067,Ásia,Ensino Médio,S,N,412,1981,Sul,11.8704,Hora,S,Negado,intermediaria,baixo,2
EZYV2832,Europa,Mestrado,S,N,2317,1994,Sul,69079.84,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV10116,Ásia,Ensino Superior,N,N,2836,1986,Meio-Oeste,163371.86,Ano,S,Aprovado,intermediaria,alto,4
EZYV3668,Europa,Mestrado,S,N,18553,1985,Nordeste,2630.75,Ano,S,Aprovado,intermediaria,baixo,2
EZYV3218,Ásia,Mestrado,N,N,5232,2011,Sul,148336.92,Ano,S,Negado,nova,alto,4
EZYV9309,América do Norte,Mestrado,N,N,1582,1995,Nordeste,335.2274,Hora,S,Negado,intermediaria,baixo,4
EZYV23116,Europa,Ensino Superior,S,N,1526,1839,Oeste,45.0484,Hora,S,Negado,antiga,baixo,2
EZYV6190,Ásia,Mestrado,S,N,3193,2012,Sul,116383.1,Ano,S,Aprovado,nova,alto,2
EZYV13074,Ásia,Ensino Médio,S,N,2090,2001,Meio-Oeste,82958.83,Ano,S,Negado,nova,medio_alto,2
EZYV8947,Oceania,Ensino Médio,N,N,4268,1962,Nordeste,853.6152,Hora,S,Aprovado,intermediaria,baixo,4
EZYV20543,Ásia,Mestrado,S,N,5033,1889,Sul,67195.56,Ano,N,Aprovado,antiga,medio_baixo,2
EZYV21218,Ásia,Ensino Superior,N,S,2237,1999,Sul,63269.11,Ano,S,Aprovado,nova,medio_baixo,3
EZYV2677,América do Norte,Mestrado,N,N,1979,1985,Oeste,85786.34,Ano,S,Negado,intermediaria,medio_alto,4
EZYV9696,Ásia,Ensino Superior,S,N,4266,1951,Meio-Oeste,165837.11,Ano,S,Aprovado,intermediaria,alto,2
EZYV11985,Europa,Mestrado,S,N,2092,2007,Sul,24891.13,Ano,S,Aprovado,nova,baixo,2
EZYV6566,América do Norte,Mestrado,S,N,117,1996,Oeste,69144.58,Ano,S,Aprovado,nova,medio_baixo,2
EZYV14438,Europa,Mestrado,S,N,1608,1998,Nordeste,82064.84,Ano,S,Aprovado,nova,medio_alto,2
EZYV12484,Ásia,Ensino Superior,S,S,2342,1983,Nordeste,86470.18,Ano,S,Negado,intermediaria,medio_alto,1
EZYV20890,América do Sul,Ensino Superior,S,N,3932,2002,Nordeste,63377.43,Ano,S,Negado,nova,medio_baixo,2
EZYV23056,Ásia,Ensino Superior,N,N,1214,1994,Nordeste,31405.29,Ano,S,Aprovado,intermediaria,baixo,4
EZYV17758,Ásia,Ensino Superior,N,S,2601,1999,Sul,117828.92,Ano,S,Aprovado,nova,alto,3
EZYV24442,América do Norte,Mestrado,N,N,4719,1977,Oeste,47407.67,Ano,S,Negado,intermediaria,medio_baixo,4
EZYV13027,Ásia,Doutorado,S,N,947,1946,Sul,151275.66,Ano,S,Aprovado,intermediaria,alto,2
EZYV7418,Ásia,Mestrado,S,N,4325,1997,Sul,6045.66,Ano,S,Aprovado,nova,baixo,2
EZYV20259,Ásia,Ensino Superior,S,N,1493,1968,Sul,95892.37,Ano,S,Aprovado,intermediaria,medio_alto,2
EZYV18730,Ásia,Ensino Superior,N,N,716,1993,Nordeste,317.3444,Hora,S,Aprovado,intermediaria,baixo,4
EZYV20180,Ásia,Ensino Superior,S,N,2464,1971,Nordeste,25579.7,Ano,S,Negado,intermediaria,baixo,2
EZYV3343,Ásia,Mestrado,S,N,475,2014,Meio-Oeste,28850.75,Ano,S,Aprovado,nova,baixo,2
EZYV5705,Ásia,Mestrado,S,N,3191,2011,Nordeste,102906.33,Ano,N,Aprovado,nova,medio_alto,2
EZYV7091,Ásia,Mestrado,S,N,928,2008,Meio-Oeste,112107.8,Ano,S,Aprovado,nova,alto,2
EZYV25150,Ásia,Mestrado,N,N,4152,1997,Sul,135147.09,Ano,N,Negado,nova,alto,4
EZYV501,Ásia,Mestrado,S,N,1245,2012,Meio-Oeste,92549.52,Ano,N,Aprovado,nova,medio_alto,2
EZYV17339,Ásia,Ensino Médio,N,N,628,1997,Nordeste,58839.51,Ano,S,Aprovado,nova,medio_baixo,4
EZYV20848,América do Sul,Ensino Médio,S,N,4675,1981,Meio-Oeste,55440.84,Ano,S,Aprovado,intermediaria,medio_baixo,2
EZYV363,América do Sul,Ensino Superior,S,N,1837,1898,Sul,227.1764,Hora,S,Aprovado,antiga,baixo,2
