continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso,cat_empresa,cat_salario,cat_experiencia
5,1,0,0,3248,1994,2,112790.25,0,1,0,1,0,4
5,2,0,0,2926,1993,4,299.2344,1,1,0,1,1,4
0,2,0,0,2347,1999,3,95496.49,0,1,0,2,2,4
5,1,0,1,365,2005,1,88330.46,0,1,1,2,2,3
5,3,0,0,4755,1933,1,130443.76,0,1,1,0,0,4
5,3,0,0,2373,1992,1,32197.86,0,1,1,1,1,4
0,2,0,0,3065,1973,1,174495.55,0,0,1,1,0,4
5,2,0,0,1434,1979,2,76878.2,0,1,0,1,2,4
2,2,0,0,5147,1991,2,60890.91,0,1,1,1,3,4
5,2,1,0,3143,2001,2,26946.53,0,1,0,2,1,2
5,2,0,0,3134,1945,4,673.6424,1,1,0,0,1,4
5,2,1,0,1596,1939,2,45847.34,0,1,1,0,3,2
5,3,1,0,377,2007,2,135634.95,0,1,1,2,0,2
5,3,0,0,1177,1997,2,81708.11,0,1,0,2,2,4
5,2,0,0,1176,1998,1,38163.44,0,1,1,2,3,4
5,2,0,0,137,1985,4,301.2781,1,1,0,1,1,4
5,1,0,0,31859,1964,4,932.9804,1,1,1,1,1,4
5,3,1,0,3338,2003,2,107608.28,0,1,1,2,0,2
5,3,1,0,2635,1988,4,10456.15,0,1,1,1,1,2
5,3,1,1,1023,2002,4,174014.59,0,1,1,2,0,1
5,0,1,0,4750,2005,1,221900.52,0,1,1,2,0,2
5,3,1,0,5664,1999,3,34770.1,0,1,1,2,3,2
4,3,1,0,1838,1990,1,112102.98,0,1,1,1,0,2
2,2,1,0,2306,1881,2,99122.45,0,1,1,0,2,2
0,3,1,0,2991,1932,3,102446.51,0,0,1,0,2,2
5,3,1,0,120,1990,3,40541.2,0,1,1,1,3,2
2,2,0,1,2163,1939,2,77102.96,0,1,1,0,2,3
5,1,1,1,4963,1998,3,103642.77,0,1,0,2,2,1
5,3,1,0,4585,1997,4,4860.1,0,0,1,2,1,2
5,2,0,0,3684,2007,4,126189.3,0,1,1,2,0,4
0,2,0,0,1568,1976,2,27512.19,0,1,0,1,1,4
0,2,0,0,453,2002,4,115570.99,0,1,1,2,0,4
2,0,0,0,4296,2008,4,6941.67,0,1,1,2,1,4
0,3,0,0,3425,1999,1,27826.13,0,1,1,2,1,4
2,2,1,0,3436,2013,3,47177.16,0,1,0,2,3,2
2,0,1,1,4427,2013,3,23913.44,0,1,1,2,1,1
2,0,1,0,2883,1963,2,138536.56,0,1,1,1,0,2
5,2,1,0,4486,1998,4,81375.83,0,1,0,2,2,2
2,1,1,0,622,1983,4,49958.16,0,1,0,1,3,2
5,3,0,0,21021,1977,2,164.0089,1,1,0,1,1,4
1,0,0,1,60905,2007,4,87530.84,0,1,1,2,2,3
5,2,0,1,100771,1838,2,187808.28,0,1,1,0,0,3
5,3,1,0,1837,2000,4,43769.73,0,1,1,2,3,2
2,2,1,0,2487,2005,3,56518.49,0,1,1,2,3,2
5,3,1,0,2231,2005,1,118029.48,0,1,1,2,0,2
5,1,1,0,2071,2000,4,93458.12,0,0,0,2,2,2
5,3,0,0,4389,2004,1,124244.19,0,1,1,2,0,4
2,3,0,0,70615,1973,3,7834.5,0,1,1,1,1,4
5,1,1,0,528,1999,1,62628.67,0,1,1,2,3,2
5,1,1,0,2974,1959,3,2034.28,0,1,0,1,1,2
5,3,1,0,91148,1998,3,132.82,1,1,1,2,1,2
0,3,1,0,3103,1838,2,86385.21,0,0,0,0,2,2
5,3,1,0,6039,2013,1,137807.55,0,0,1,2,0,2
5,2,0,0,4027,2001,2,109.76,1,1,0,2,1,4
5,3,0,0,1383,2004,1,718.027,1,1,1,2,1,4
5,3,1,0,4344,1939,4,103632.59,0,1,1,0,2,2
0,3,1,0,3819,1977,2,86371.84,0,1,0,1,2,2
5,3,1,0,2443,2007,3,20701.79,0,1,1,2,1,2
2,3,1,0,2216,1947,2,118495.9,0,1,1,1,0,2
5,2,0,0,10641,1993,1,29022.63,0,1,1,1,1,4
5,3,0,1,1990,1985,4,47508.19,0,1,1,1,3,3
0,3,1,0,2496,1987,4,4839.98,0,0,0,1,1,2
0,3,1,0,517,1993,3,98116.95,0,1,1,1,2,2
5,3,0,0,326,2000,1,110646.74,0,1,0,2,0,4
2,3,0,0,673,1989,2,102819.6,0,1,1,1,2,4
0,2,0,0,3176,1998,4,20898.29,0,0,0,2,1,4
5,2,1,1,12669,1977,3,154599.79,0,1,1,1,0,1
5,0,0,1,433,1867,4,124155.88,0,1,1,0,0,3
5,3,0,0,857,2005,1,134699.98,0,1,1,2,0,4
2,0,1,0,2405,1986,4,429.95,0,1,1,1,1,2
0,2,0,0,1447,1984,2,26679.76,0,1,0,1,1,4
5,3,1,0,4826,1994,3,66413.19,0,1,1,1,3,2
2,3,1,0,764,1998,3,13239.84,0,1,1,2,1,2
2,0,0,1,1637,2007,4,11266.56,0,1,0,2,1,3
5,3,0,0,1566,2009,3,76941.3,0,0,1,2,2,4
5,2,1,0,1195,1914,1,108519.14,0,1,1,0,0,2
5,2,1,0,2274,1875,4,57490.42,0,1,1,0,3,2
5,2,1,0,1801,1866,3,128044.08,0,1,1,0,0,2
0,1,1,0,739,1995,2,4201.92,0,1,1,1,1,2
5,3,1,0,3169,1968,1,85415.78,0,0,1,1,2,2
2,1,1,0,2536,1954,1,163341.22,0,1,1,1,0,2
5,2,0,0,293,1894,1,9489.65,0,1,0,0,1,4
5,3,1,0,4296,2008,4,127922.38,0,1,1,2,0,2
5,2,1,0,80778,1998,2,22476.18,0,1,1,2,1,2
5,2,1,0,773,1996,4,80949.53,0,1,1,2,2,2
5,1,0,0,2938,1963,2,123.7616,1,1,0,1,1,4
5,2,1,0,3173,2002,4,28652.91,0,1,0,2,1,2
5,2,1,0,1614,2008,1,88771.85,0,1,1,2,2,2
5,3,1,0,2646,1965,1,99154.55,0,1,1,1,2,2
5,3,1,0,463,1907,2,68182.63,0,1,1,0,3,2
5,2,0,1,24,1991,3,87751.3,0,1,1,1,2,3
5,2,1,0,3128,1999,3,31890.66,0,1,1,2,1,2
5,2,0,0,2149,1995,4,73118.95,0,1,0,1,2,4
5,1,1,0,412,1981,4,11.8704,1,1,0,1,1,2
2,3,1,0,2317,1994,4,69079.84,0,1,1,1,3,2
5,2,0,0,2836,1986,1,163371.86,0,1,1,1,0,4
2,3,1,0,18553,1985,2,2630.75,0,1,1,1,1,2
5,3,0,0,5232,2011,4,148336.92,0,1,0,2,0,4
0,3,0,0,1582,1995,2,335.2274,1,1,0,1,1,4
2,2,1,0,1526,1839,3,45.0484,1,1,0,0,1,2
5,3,1,0,3193,2012,4,116383.1,0,1,1,2,0,2
5,1,1,0,2090,2001,1,82958.83,0,1,0,2,2,2
3,1,0,0,4268,1962,2,853.6152,1,1,1,1,1,4
5,3,1,0,5033,1889,4,67195.56,0,0,1,0,3,2
5,2,0,1,2237,1999,4,63269.11,0,1,1,2,3,3
0,3,0,0,1979,1985,3,85786.34,0,1,0,1,2,4
5,2,1,0,4266,1951,1,165837.11,0,1,1,1,0,2
2,3,1,0,2092,2007,4,24891.13,0,1,1,2,1,2
0,3,1,0,117,1996,3,69144.58,0,1,1,2,3,2
2,3,1,0,1608,1998,2,82064.84,0,1,1,2,2,2
5,2,1,1,2342,1983,2,86470.18,0,1,0,1,2,1
1,2,1,0,3932,2002,2,63377.43,0,1,0,2,3,2
5,2,0,0,1214,1994,2,31405.29,0,1,1,1,1,4
5,2,0,1,2601,1999,4,117828.92,0,1,1,2,0,3
0,3,0,0,4719,1977,3,47407.67,0,1,0,1,3,4
5,0,1,0,947,1946,4,151275.66,0,1,1,1,0,2
5,3,1,0,4325,1997,4,6045.66,0,1,1,2,1,2
5,2,1,0,1493,1968,4,95892.37,0,1,1,1,2,2
5,2,0,0,716,1993,2,317.3444,1,1,1,1,1,4
5,2,1,0,2464,1971,2,25579.7,0,1,0,1,1,2
5,3,1,0,475,2014,1,28850.75,0,1,1,2,1,2
5,3,1,0,3191,2011,2,102906.33,0,0,1,2,2,2
5,3,1,0,928,2008,1,112107.8,0,1,1,2,0,2
5,3,0,0,4152,1997,4,135147.09,0,0,0,2,0,4
5,3,1,0,1245,2012,1,92549.52,0,0,1,2,2,2
5,1,0,0,628,1997,2,58839.51,0,1,1,2,3,4
1,1,1,0,4675,1981,1,55440.84,0,1,1,1,3,2
1,2,1,0,1837,1898,4,227.1764,1,1,1,0,1,2
5,2,1,0,3078,1987,3,41783.69,0,1,0,1,3,2
5,3,1,1,588,1838,2,102876.51,0,1,1,0,2,1
5,2,0,0,754,1855,4,119713.28,0,1,0,0,0,4
5,3,1,0,854,2010,1,81735.79,0,0,1,2,2,2
5,1,0,0,121,1999,1,106921.18,0,1,1,2,2,4
0,3,1,0,651,2009,4,128469.65,0,1,1,2,0,2
0,2,0,1,2833,1906,4,19490.22,0,1,1,0,1,3
2,0,1,0,839,1989,4,23539.21,0,1,1,1,1,2
5,3,1,0,2117,2014,1,133655.95,0,1,1,2,0,2
5,3,1,0,5550,1991,0,77094.42,0,1,0,1,2,2
5,3,1,0,101941,1975,2,80889.54,0,1,1,1,2,2
4,3,1,0,1085,1998,3,127740.34,0,1,1,2,0,2
5,0,0,0,68241,1985,3,172382.79,0,1,0,1,0,4
5,2,1,0,1523,2005,1,212779.75,0,1,1,2,0,2
5,2,0,0,531,2009,3,104416.31,0,1,1,2,2,4
0,2,1,0,796,1938,4,689.3365,1,1,0,0,1,2
0,3,0,0,3567,1896,2,118.3811,1,1,0,0,1,4
5,2,0,1,540,1863,4,215800.83,0,1,1,0,0,3
5,0,1,0,500,1985,2,56686.88,0,1,1,1,3,2
5,3,1,0,2022,1889,2,72229.67,0,1,1,0,2,2
2,3,0,1,2631,1982,4,182499.34,0,1,0,1,0,3
4,2,0,0,893,1979,3,117406.94,0,1,1,1,0,4
5,1,1,0,740,1948,3,17096.86,0,1,0,1,1,2
5,2,1,0,2293,1998,4,25409.03,0,1,1,2,1,2
0,0,1,0,727,1938,2,5704.88,0,1,1,0,1,2
0,2,0,0,1943,1995,3,49373.11,0,1,0,1,3,4
2,3,1,0,3076,1978,4,56150.67,0,1,1,1,3,2
5,2,1,0,128,1947,4,51294.76,0,1,1,1,3,2
0,1,1,0,5545,2005,3,51725.47,0,1,1,2,3,2
5,2,0,0,5959,1988,3,109430.43,0,1,1,1,0,4
5,2,0,0,4288,1995,2,189.5454,1,1,0,1,1,4
5,3,0,0,781,1990,4,161245.1,0,0,1,1,0,4
5,1,1,0,2769,2012,3,37185.38,3,1,1,2,3,2
5,3,1,0,195,2005,1,160788.76,0,1,1,2,0,2
5,3,1,1,86,1969,3,114438.68,0,1,1,1,0,1
5,2,1,1,499720,1948,3,47992.0,0,1,1,1,3,1
5,2,1,0,3152,1994,3,11261.87,0,1,0,1,1,2
2,2,1,0,5760,1838,4,18947.12,0,1,1,0,1,2
5,3,1,0,1997,1850,3,110971.9,0,1,1,0,0,2
5,2,0,0,967,2003,3,104577.67,0,1,0,2,2,4
5,2,0,1,232,2004,4,119524.71,0,1,0,2,0,3
5,1,0,0,3581,2007,2,79960.59,0,1,1,2,2,4
5,3,1,0,210,1994,1,112842.28,0,1,1,1,0,2
5,1,0,1,525,2001,1,97298.69,0,1,0,2,2,3
5,3,0,0,1225,1998,2,113.23,1,1,1,2,1,4
0,3,0,0,4844,2005,2,13949.76,0,1,1,2,1,4
5,3,1,0,639,1934,0,135252.31,0,1,1,0,0,2
5,3,1,0,1991,2007,4,154825.43,0,1,1,2,0,2
2,3,1,0,904,1925,2,147892.95,0,1,1,0,0,2
5,3,1,0,2198,1967,4,41004.72,0,1,1,1,3,2
0,2,1,0,2281,1994,3,44563.92,0,1,1,1,3,2
2,2,0,0,3917,1991,3,107276.43,0,1,1,1,2,4
5,3,0,0,5590,1834,3,41181.17,0,1,0,0,3,4
0,3,1,0,2563,1855,2,86528.21,0,1,1,0,2,2
2,2,1,0,3486,1915,4,95411.72,0,1,1,0,2,2
2,1,0,0,3527,1984,4,45050.36,0,1,0,1,3,4
5,2,0,0,349,2004,4,58.5781,1,1,1,2,1,4
5,2,0,1,1975,1991,3,76918.08,0,1,1,1,2,3
5,2,1,0,1279,2012,2,71366.04,0,1,0,2,2,2
5,2,0,0,927,1968,2,7546.31,0,1,0,1,1,4
5,3,1,0,1131,2000,1,139741.3,0,1,1,2,0,2
0,0,1,0,3199,1993,2,15569.23,0,1,1,1,1,2
0,1,1,0,1039,2011,1,25815.98,0,1,1,2,1,2
5,3,1,0,2698,2000,1,53334.24,0,1,1,2,3,2
5,2,1,0,2508,2006,4,4728.7,0,1,1,2,1,2
5,2,1,0,4824,1996,3,49122.07,0,1,1,2,3,2
5,3,0,0,3056,2000,2,11434.13,0,1,0,2,1,4
5,3,1,0,1536,2009,1,56493.1,0,1,1,2,3,2
2,3,1,0,29,1983,1,88465.75,0,1,1,1,2,2
5,1,0,0,491,1987,1,60320.99,0,1,1,1,3,4
1,3,0,0,464,1980,1,155.98,1,1,0,1,1,4
5,1,1,0,961,2005,4,41650.15,0,1,1,2,3,2
2,3,1,0,4685,1997,1,30638.27,0,1,1,2,1,2
5,2,0,0,1779,1989,2,82498.26,0,0,0,1,2,4
1,3,0,0,5973,2007,2,53263.14,0,1,0,2,3,4
5,3,0,0,136,2001,4,278.8894,1,1,0,2,1,4
5,1,0,0,3137,1949,2,39856.29,0,1,0,1,3,4
5,2,0,0,1237,2000,2,111097.65,0,1,1,2,0,4
5,2,1,0,1858,1868,1,202917.69,0,1,1,0,0,2
4,3,1,0,3923,2006,2,75739.52,0,1,1,2,2,2
0,3,1,0,1539,1977,4,128710.47,0,0,1,1,0,2
5,3,0,1,961,2005,3,195883.8,0,1,0,2,0,3
5,2,0,0,2265,2001,4,81492.52,0,1,1,2,2,4
5,2,0,1,4570,1997,3,94928.35,0,1,1,2,2,3
5,2,1,0,463,2006,2,96238.49,0,1,1,2,2,2
5,0,0,0,1087,1998,1,157505.99,0,1,1,2,0,4
2,2,1,0,4502,1886,2,18705.34,0,1,1,0,1,2
5,2,0,0,2663,1996,2,24963.37,0,1,0,2,1,4
2,3,1,0,792,2007,2,855.9094,1,1,1,2,1,2
0,3,1,0,1658,1977,3,53884.03,0,1,1,1,3,2
5,2,1,0,2132,2011,1,86050.8,0,1,1,2,2,2
0,3,0,0,4592,2005,4,19782.1,0,0,1,2,1,4
5,3,1,0,1836,1975,3,16780.57,0,1,1,1,1,2
5,3,1,0,5005,1998,2,64016.67,0,1,1,2,3,2
5,3,0,0,2549,2003,4,34210.42,0,1,0,2,3,4
5,2,0,0,396,1910,3,148106.01,0,1,0,0,0,4
5,3,1,0,5147,1997,2,6256.18,0,1,1,2,1,2
5,2,0,0,1357,1984,2,839.9962,1,1,0,1,1,4
0,3,1,0,802,2006,2,77889.34,0,1,1,2,2,2
5,2,1,0,1263,2005,3,97113.42,0,1,1,2,2,2
5,2,0,0,2690,2001,4,20314.12,0,1,1,2,1,4
5,1,0,0,3750,1996,2,131309.08,0,0,0,2,0,4
5,2,1,0,3659,1997,4,79.1099,1,1,0,2,1,2
5,3,1,1,626,1981,4,86265.1,0,1,1,1,2,1
5,3,0,0,1450,1838,4,876.9421,1,1,1,0,1,4
5,3,0,0,4839,1885,4,55815.8,0,1,1,0,3,4
5,2,1,1,2044,1975,4,79648.09,0,1,1,1,2,1
5,2,1,0,2343,1997,0,117346.34,0,1,0,2,0,2
5,0,1,0,772,2006,1,83106.47,0,1,1,2,2,2
5,3,0,0,1697,2005,2,82094.8,0,0,1,2,2,4
0,2,1,0,113,1911,2,90969.75,0,1,1,0,2,2
5,0,0,0,772,2001,2,50282.8,0,1,0,2,3,4
0,3,0,0,1406,2005,3,184877.47,0,0,0,2,0,4
2,2,1,0,2321,1982,2,3516.09,0,1,1,1,1,2
5,3,1,0,2950,1868,2,124974.58,0,0,1,0,0,2
5,2,0,0,723,2006,2,51399.08,0,1,1,2,3,4
5,2,1,0,470,1824,2,70729.85,3,1,0,0,2,2
5,3,0,0,5644,1898,1,22626.29,0,1,1,0,1,4
0,2,1,0,396,1994,3,122696.23,0,1,1,1,0,2
5,2,1,0,496,1984,1,58674.46,0,1,1,1,3,2
5,3,0,0,2315,2012,2,221757.19,0,0,0,2,0,4
5,0,1,0,4010,1908,1,74645.92,0,1,1,0,2,2
0,2,1,0,2553,1890,4,244457.48,0,1,1,0,0,2
5,1,0,0,3503,1999,1,125349.52,0,1,0,2,0,4
1,1,0,0,2020,1999,0,221.6987,1,1,0,2,1,4
5,2,0,0,3960,1870,2,48348.59,0,1,0,0,3,4
5,2,0,0,3279,1998,1,116845.29,0,1,0,2,0,4
5,2,1,0,2049,1998,2,23874.02,0,1,0,2,1,2
0,3,0,0,1630,1979,4,240846.68,0,0,0,1,0,4
5,2,1,0,3140,2002,4,51666.43,0,1,0,2,3,2
5,2,1,0,2858,1997,3,19101.15,0,1,0,2,1,2
5,2,1,1,2059,2012,3,65642.88,0,1,1,2,3,1
0,3,0,0,3472,1980,2,61757.88,0,1,0,1,3,4
5,2,1,0,3074,2001,4,85596.97,0,1,1,2,2,2
5,2,1,0,2504,2012,3,114194.88,0,1,1,2,0,2
2,0,0,0,1760,2001,2,55614.04,0,1,1,2,3,4
2,2,1,0,500,1974,4,31641.24,0,1,1,1,1,2
2,2,0,0,24092,1972,3,103942.73,0,1,1,1,2,4
5,1,1,1,923,1994,4,27050.91,0,1,1,1,1,1
5,1,0,0,3631,1999,1,97096.04,0,1,1,2,2,4
5,2,0,0,2330,1999,1,39557.24,0,1,1,2,3,4
2,2,0,0,3130,2008,4,44888.99,0,1,1,2,3,4
5,2,1,0,547,2010,2,40910.25,0,1,1,2,3,2
5,2,0,0,10047,1949,1,119904.51,0,1,1,1,0,4
5,3,1,0,4180,1960,0,58998.76,0,1,0,1,3,2
5,1,1,0,3182,1940,2,33636.75,0,1,0,0,1,2
5,2,0,0,1339,1993,3,83303.24,0,1,0,1,2,4
5,2,1,0,1597,1849,3,22274.19,0,1,1,0,1,2
5,3,0,0,2384,1977,1,130705.18,0,1,1,1,0,4
5,3,0,0,25923,1993,4,121631.76,0,0,1,1,0,4
5,2,1,0,4709,1995,3,52271.85,0,1,1,1,3,2
5,3,1,0,681,1998,3,306021.96,0,0,1,2,0,2
5,2,0,0,2140,1997,4,37032.83,0,1,1,2,3,4
5,3,1,0,405,2007,2,87315.43,0,1,1,2,2,2
5,2,0,0,892,1989,4,784.0817,1,1,0,1,1,4
5,2,1,0,526,1996,4,70747.4,0,1,1,2,2,2
5,2,0,0,3443,1987,3,226169.32,0,1,0,1,0,4
0,1,1,0,3994,1889,4,75734.27,0,1,1,0,2,2
2,2,1,0,2541,1997,2,121637.78,0,0,1,2,0,2
5,3,0,0,2453,1985,2,150293.34,0,1,1,1,0,4
5,2,0,0,3415,1920,4,34796.5,0,1,0,0,3,4
5,1,0,1,4632,1968,4,76955.63,0,1,0,1,2,3
1,3,1,0,256,1954,2,97329.25,0,1,1,1,2,2
5,2,0,0,2381,2005,4,86316.44,0,1,0,2,2,4
5,3,0,1,92482,1988,4,107829.23,0,1,0,1,0,3
5,1,0,0,4054,1925,2,112267.09,0,1,0,0,0,4
0,3,1,0,4039,1985,2,97678.83,0,1,0,1,2,2
5,3,0,0,3737,1818,3,251014.23,0,1,0,0,0,4
5,2,1,0,1977,2012,3,76886.35,0,1,0,2,2,2
5,2,0,0,1768,1994,3,55340.98,0,1,1,1,3,4
5,2,1,0,4581,1998,2,61126.33,0,0,0,2,3,2
0,3,1,1,1563,1994,3,74384.42,0,1,1,1,2,1
0,3,0,0,2935,1986,3,24554.76,0,1,0,1,1,4
2,0,0,0,1662,1998,3,92235.44,0,1,1,2,2,4
2,0,0,0,306,1995,3,57529.92,0,1,1,1,3,4
5,3,1,0,2680,1892,4,468.4167,1,1,1,0,1,2
5,2,0,0,1082,2014,3,57985.08,0,1,0,2,3,4
5,2,0,0,3336,1994,1,65227.99,0,1,1,1,3,4
5,3,0,0,4150,1999,2,76348.25,0,0,1,2,2,4
5,2,0,0,2436,2009,2,44595.08,0,1,0,2,3,4
5,3,0,0,872,1900,3,51836.04,0,1,0,0,3,4
5,1,0,1,5219,1954,3,126826.57,0,1,0,1,0,3
2,1,1,0,1389,1991,3,50472.49,0,1,1,1,3,2
5,2,1,0,5057,2006,2,83313.83,0,1,1,2,2,2
5,2,1,0,178,1978,2,124495.5,0,1,0,1,0,2
5,2,1,0,2344,2013,4,94371.85,0,1,1,2,2,2
5,2,0,0,858,1975,4,88109.64,0,1,1,1,2,4
5,3,0,1,15205,2000,3,103394.94,0,1,1,2,2,3
0,0,1,0,173,1959,3,165410.53,0,1,0,1,0,2
5,3,0,0,12950,2001,2,171976.84,0,0,1,2,0,4
5,2,0,0,4147,1980,2,93326.89,0,1,0,1,2,4
5,2,1,0,388,2015,0,27357.69,0,1,0,2,1,2
5,1,1,0,2845,2009,3,424.08,0,1,0,2,1,2
4,3,0,0,1608,2009,3,118.84,1,1,0,2,1,4
5,2,1,0,5826,1993,3,126739.96,0,1,1,1,0,2
5,2,0,1,1847,2003,2,58049.13,0,1,1,2,3,3
0,1,0,0,590,2009,2,65588.4,0,0,0,2,3,4
